"module","sequence","value","Extraction_ID","Gen_Spe"
"1","V12",12,"G37","Gnatholepis cauerensis"
"1","V13",13,"G38","Gnatholepis cauerensis"
"1","V14",14,"G39","Gnatholepis cauerensis"
"1","V15",15,"G40","Gnatholepis cauerensis"
"1","V32",32,"G32","Fusigobius neophytus"
"1","V35",35,"G35","Fusigobius neophytus"
"2","V8",8,"G20","Gnatholepis cauerensis"
"2","V9",9,"G26","Gnatholepis cauerensis"
"2","V10",10,"G30","Gnatholepis cauerensis"
"2","V11",11,"G31","Fusigobius neophytus"
"2","V21",21,"G07","Gnatholepis cauerensis"
"2","V22",22,"G08","Gnatholepis cauerensis"
"3","V17",17,"G02","Fusigobius neophytus"
"3","V18",18,"G03","Fusigobius neophytus"
"3","V20",20,"G05","Fusigobius neophytus"
"3","V24",24,"G11","Fusigobius neophytus"
"3","V26",26,"G13","Fusigobius neophytus"
"3","V27",27,"G15","Fusigobius neophytus"
"3","V28",28,"G21","Fusigobius neophytus"
"3","V29",29,"G22","Fusigobius neophytus"
"3","V30",30,"G23","Fusigobius neophytus"
"3","V33",33,"G33","Fusigobius neophytus"
"3","V34",34,"G34","Fusigobius neophytus"
"3","V36",36,"G36","Gnatholepis cauerensis"
"4","V3",3,"G14","Fusigobius neophytus"
"4","V16",16,"G01","Fusigobius neophytus"
"4","V19",19,"G04","Fusigobius neophytus"
"4","V31",31,"G25","Fusigobius neophytus"
"5","V1",1,"G06","Gnatholepis cauerensis"
"5","V2",2,"G09","Gnatholepis cauerensis"
"5","V4",4,"G16","Gnatholepis cauerensis"
"5","V5",5,"G17","Gnatholepis cauerensis"
"5","V6",6,"G18","Gnatholepis cauerensis"
"5","V7",7,"G19","Gnatholepis cauerensis"
"5","V23",23,"G10","Gnatholepis cauerensis"
"5","V25",25,"G12","Fusigobius neophytus"
